Snapshot = 0 .,Track_ID,x,y,z
,1,-685.453848,579.299678,623.685698
,2,-684.889727,579.156898,658.582693
,3,-683.759542,578.784299,693.083703
,4,-649.624355,581.971669,622.970827
,5,-649.692065,582.213487,657.628809
,6,-649.231759,582.327022,692.596901
,7,-648.47209,582.088204,727.652034
,8,-647.862839,581.855773,762.623348
,9,-647.704284,582.089176,797.491514
,10,-646.510638,581.741488,831.88932
,12,-614.723139,586.321914,656.847505
,13,-614.625074,586.633469,691.838094
,14,-613.951834,586.352131,726.824516
,15,-612.905439,586.015636,761.560928
,16,-612.977315,586.364823,796.605173
,17,-612.556974,586.315332,831.481838
,19,-580.663494,591.871692,656.769464
,22,-578.815216,591.205868,761.5336
,23,-578.824756,591.505008,796.587121
,24,-578.160098,591.410081,831.238382
,25,-548.208602,596.754841,621.204256
,26,-547.440949,596.38513,656.195178
,27,-546.56437,596.207106,690.64442
,29,-546.382709,596.584677,760.680864
,30,-545.724744,596.368882,795.589579
,31,-545.872995,596.641917,830.816347
,32,-513.255785,602.360387,655.471642
,33,-512.889156,602.524191,690.137789
,34,-512.24155,602.257128,725.088995
,35,-511.944535,602.196722,760.046312
,37,-511.593389,602.453815,829.983219
,38,-479.923675,608.993165,620.628916
,39,-478.877128,608.873686,655.48525
,42,-478.299634,608.842109,760.540056
,43,-477.732528,608.594514,795.121829
,44,-477.180086,608.564714,829.9044
,46,-718.274994,576.339128,693.648767
,47,-683.173842,578.472049,728.122338
,49,-682.125447,578.472299,797.877444
,50,-681.450263,578.313522,832.565143
,51,-563.140469,594.307754,868.44185
Snapshot = 1 .,Track_ID,x,y,z
,1,-685.453848,579.299678,623.685698
,2,-684.889727,579.156898,658.582693
,3,-683.759542,578.784299,693.083703
,4,-649.624355,581.971669,622.970827
,5,-649.692065,582.213487,657.628809
,6,-649.231759,582.327022,692.596901
,7,-648.47209,582.088204,727.652034
,8,-647.862839,581.855773,762.623348
,9,-647.704284,582.089176,797.491514
,10,-646.510638,581.741488,831.88932
,12,-614.723139,586.321914,656.847505
,13,-614.625074,586.633469,691.838094
,14,-613.951834,586.352131,726.824516
,15,-612.905439,586.015636,761.560928
,16,-612.977315,586.364823,796.605173
,17,-612.556974,586.315332,831.481838
,19,-580.663494,591.871692,656.769464
,22,-578.815216,591.205868,761.5336
,23,-578.824756,591.505008,796.587121
,24,-578.160098,591.410081,831.238382
,25,-548.208602,596.754841,621.204256
,26,-547.440949,596.38513,656.195178
,27,-546.56437,596.207106,690.64442
,29,-546.382709,596.584677,760.680864
,30,-545.724744,596.368882,795.589579
,31,-545.872995,596.641917,830.816347
,32,-513.255785,602.360387,655.471642
,33,-512.889156,602.524191,690.137789
,34,-512.24155,602.257128,725.088995
,35,-511.944535,602.196722,760.046312
,37,-511.593389,602.453815,829.983219
,38,-479.923675,608.993165,620.628916
,39,-478.877128,608.873686,655.48525
,42,-478.299634,608.842109,760.540056
,43,-477.732528,608.594514,795.121829
,44,-477.180086,608.564714,829.9044
,46,-718.274994,576.339128,693.648767
,47,-683.173842,578.472049,728.122338
,49,-682.125447,578.472299,797.877444
,50,-681.450263,578.313522,832.565143
,51,-563.140469,594.307754,868.44185
Snapshot = 2 .,Track_ID,x,y,z
,1,-684.931525,578.982513,623.621654
,2,-684.857705,579.145373,658.569862
,3,-683.802284,578.817543,693.092868
,4,-649.821125,582.099146,622.98227
,5,-649.597332,582.147943,657.612367
,6,-649.262476,582.349629,692.598123
,7,-648.57035,582.15497,727.662865
,8,-647.629631,581.821113,762.486706
,9,-647.760885,582.129308,797.499179
,10,-646.636476,581.833083,831.930313
,12,-614.8805,586.438976,656.88722
,13,-614.533285,586.561371,691.815986
,14,-613.968692,586.36535,726.804409
,15,-612.914159,586.023134,761.559151
,16,-613.092461,586.445947,796.648277
,17,-612.434968,586.224515,831.41435
,19,-580.704223,591.902381,656.764631
,22,-578.79322,591.188176,761.51688
,23,-578.625361,591.285798,796.46531
,24,-578.010347,591.292574,831.165228
,25,-548.090957,596.66619,621.199646
,26,-547.526822,596.459949,656.201621
,27,-546.555997,596.203496,690.638087
,29,-546.410065,596.610228,760.693029
,30,-545.699054,596.346192,795.559751
,31,-545.954591,596.758951,830.892777
,32,-513.365418,602.470228,655.470142
,33,-512.853718,602.490863,690.122236
,34,-512.20514,602.23016,725.059889
,35,-512.034213,602.286539,760.060309
,37,-511.585113,602.445483,829.968944
,38,-479.978832,609.063958,620.625638
,39,-478.748526,608.743182,655.428038
,42,-478.317506,608.861161,760.541278
,43,-477.713629,608.574768,795.097001
,44,-477.245935,608.625787,829.928118
,46,-718.141823,576.262725,693.615051
,47,-683.075915,578.414338,728.076457
,49,-682.060403,578.432612,797.850116
,50,-681.672945,578.455969,832.652572
,51,-563.016394,594.219658,868.358198
Snapshot = 3 .,Track_ID,x,y,z
,1,-685.085886,579.085939,623.643428
,2,-684.878035,579.14079,658.566029
,3,-683.845415,578.839261,693.100255
,4,-649.672263,582.000831,622.963606
,5,-649.766829,582.262922,657.627753
,6,-649.245118,582.335604,692.588514
,7,-648.532829,582.131418,727.632315
,8,-647.791102,581.833361,762.547528
,9,-647.761357,582.129335,797.490125
,10,-646.536716,581.76579,831.874934
,12,-614.867252,586.426006,656.884443
,13,-614.573222,586.592282,691.807543
,14,-614.065424,586.433477,726.827016
,15,-612.96179,586.055378,761.562928
,16,-613.100487,586.444753,796.645722
,17,-612.485986,586.262341,831.427237
,19,-580.794707,591.974368,656.775018
,22,-578.731439,591.141407,761.468834
,23,-578.615918,591.321208,796.482807
,24,-578.135408,591.390668,831.227662
,25,-548.1118,596.685881,621.193425
,26,-547.463042,596.406265,656.189401
,27,-546.683363,596.311421,690.659861
,29,-546.383083,596.583344,760.669311
,30,-545.848458,596.471947,795.61624
,31,-545.972116,596.726651,830.857062
,32,-513.349351,602.447066,655.46181
,33,-512.873159,602.512193,690.126624
,34,-512.150081,602.176448,725.037893
,35,-512.059944,602.303064,760.066808
,37,-511.572546,602.434568,829.954391
,38,-479.776757,608.813253,620.592755
,39,-478.748567,608.724019,655.417485
,42,-478.278916,608.820057,760.519782
,43,-477.794809,608.661613,795.132661
,44,-477.236465,608.609789,829.91812
,46,-718.244499,576.317354,693.632326
,47,-683.126628,578.455747,728.088566
,49,-682.125642,578.474882,797.868502
,50,-681.693136,578.46605,832.651016
,51,-562.836815,594.054771,868.210613
Snapshot = 4 .,Track_ID,x,y,z
,1,-685.06925,579.054944,623.665091
,2,-685.11116,579.295068,658.6033
,3,-683.617484,578.686927,693.055763
,4,-649.329769,581.747626,622.92939
,5,-649.879337,582.332104,657.652582
,6,-649.11703,582.276892,692.526303
,7,-648.825138,582.327244,727.722854
,8,-647.836677,581.849108,762.563192
,9,-647.731668,582.10159,797.480571
,10,-646.210053,581.540247,831.728682
,12,-614.89708,586.443336,656.887831
,13,-614.861225,586.804827,691.877586
,14,-614.475184,586.73745,726.943606
,15,-612.809123,585.941454,761.513881
,16,-613.233241,586.539569,796.714265
,17,-612.389948,586.172691,831.373469
,19,-581.203633,592.306642,656.857725
,22,-578.744201,591.140852,761.476277
,23,-578.561289,591.211561,796.432538
,24,-578.138977,591.384002,831.232883
,25,-547.901463,596.477335,621.173984
,26,-547.15207,596.140507,656.128912
,27,-546.567342,596.205162,690.633422
,29,-546.367711,596.567652,760.671866
,30,-545.83964,596.448785,795.606187
,31,-546.072653,596.808581,830.916551
,32,-513.337173,602.422765,655.457255
,33,-513.150123,602.7519,690.207554
,34,-512.062249,602.08838,725.010176
,35,-512.100243,602.345029,760.089637
,37,-511.617552,602.467145,829.980719
,38,-479.560518,608.575157,620.570982
,39,-478.662111,608.632424,655.416541
,42,-478.447233,608.984,760.598935
,43,-477.768758,608.627508,795.127939
,44,-477.179461,608.548634,829.882182
,46,-718.013541,576.172491,693.57928
,47,-683.10677,578.439972,728.086289
,49,-682.069679,578.43925,797.844395
,50,-681.851941,578.556312,832.721615
,51,-562.600497,593.869888,868.110354
,52,-513.836499,602.515137,620.370962
Snapshot = 5 .,Track_ID,x,y,z
,1,-685.524446,579.363056,623.725414
,2,-685.427047,579.486311,658.685008
,3,-683.271102,578.461662,692.992663
,4,-648.870991,581.441265,622.890786
,5,-649.886946,582.322245,657.660248
,6,-648.909261,582.126891,692.491198
,7,-649.364735,582.689401,727.877326
